Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Approval),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Agentic AI for R&D Task Planning,KDP-2124,23659,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,22/Apr/26 10:27 AM,22/Apr/26 10:47 AM,,22/Apr/26 10:47 AM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c3563d0,,,,,0|i00bro:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,22/Apr/26 10:47 AM
"Build new board for RFQ, PO, and task tracking - supply chain",KDP-2123,23342,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,16/Apr/26 3:15 PM,21/Apr/26 5:01 PM,,21/Apr/26 5:01 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a0ee6ef,,,,,0|i00bsc:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,21/Apr/26 5:01 PM
Follow up Glenn,KDP-2121,23340,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,16/Apr/26 3:15 PM,22/Apr/26 1:44 PM,,22/Apr/26 1:44 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@801d79e,,,,,0|i00brm:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,22/Apr/26 1:44 PM
Draft disposal process for polymers,KDP-2113,23300,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,16/Apr/26 11:20 AM,17/Apr/26 9:14 AM,,17/Apr/26 9:14 AM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@682f40e,,,,,0|i009jg:zsr,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,17/Apr/26 9:14 AM
Draft disposal process for organic solvents,KDP-2112,23299,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,16/Apr/26 11:20 AM,17/Apr/26 11:54 AM,,17/Apr/26 11:54 AM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56511d2d,,,,,0|i009jg:zsv,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,17/Apr/26 11:54 AM
Generate subcontract opportunity report,KDP-2111,23266,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,15/Apr/26 4:59 PM,16/Apr/26 1:19 PM,,16/Apr/26 1:19 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7459e044,,,,,0|i00bsb:,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,16/Apr/26 1:19 PM
Organize Chemical Cabinet,KDP-2110,23233,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,15/Apr/26 3:28 PM,16/Apr/26 4:32 PM,16/Apr/26 10:57 AM,16/Apr/26 4:32 PM,,0,ongoing,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69a2187d,,,,,0|i009jg:zs,KDP Sprint 32,,,,,,,,,,,,,,,,,,,,Done,16/Apr/26 4:32 PM
Participate in kick-off meeting with ERDC team,KDP-2109,23200,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,15/Apr/26 1:52 PM,15/Apr/26 1:53 PM,,15/Apr/26 1:53 PM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4411c5e7,,,,,0|i00bzh:,KDP Sprint 32,,,,,,,,,,,,,,,,,22878,KDP-2033,ERDC IIB - D1 - Technical kick-off meeting and project plan.,Done,15/Apr/26 1:53 PM
Produce project plan,KDP-2108,23198,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,15/Apr/26 1:51 PM,15/Apr/26 1:53 PM,,15/Apr/26 1:53 PM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d86acbc,,,,,0|i00bz9:,KDP Sprint 32,,,,,,,,,,,,,,,,,22878,KDP-2033,ERDC IIB - D1 - Technical kick-off meeting and project plan.,Done,15/Apr/26 1:53 PM
Optimize manufacturing process based on test results,KDP-2090,23130,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,15/Apr/26 11:17 AM,22/Apr/26 4:19 PM,,22/Apr/26 4:19 PM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23d6c747,,,,,0|i00abm:x2,KDP Sprint 32,,,,,,,,,,,,,,,,,23053,KDP-2080,IR Decoy - D1 - Reduced Scale Prototype Tarp Manufactured with no electrical controls,Done,22/Apr/26 4:19 PM
